"artista","musica","generos","key","duracao","popularidade","acustico","discurso","vivacidade","instrumentalidade","energia","tempo","time_signature","sonoridade","dancabilidade","valencia"
"Steve Aoki","Be Somebody","dance pop, edm, electro house, pop dance, pop rap, tropical house","B",198281,33,0.00557,0.0824,0.0618,1.88e-06,0.875,115.012,4,-4.665,0.698,0.39
"Polo G","Be Something","chicago rap, rap","Gs",194117,63,0.0232,0.294,0.134,0,0.52,136.103,4,-10.34,0.829,0.248
"Dua Lipa","Be the One","dance pop, pop, uk pop","G",202914,66,0.117,0.0499,0.056,1.32e-05,0.651,87.46,4,-3.771,0.661,0.368
"Trippie Redd","Be Yourself","melodic rap, rap, trap","G",196861,43,0.264,0.212,0.111,3.71e-06,0.535,90.568,4,-6.77,0.57,0.0734
"The Chainsmokers","Beach House","dance pop, edm, electropop, pop, pop dance, tropical house","C",206120,52,0.174,0.0526,0.341,0,0.838,179.945,4,-4.491,0.4,0.533
"Lil Uzi Vert","Bean (Kobe) [feat. Chief Keef]","melodic rap, philly rap, rap, trap","C",238816,62,0.0129,0.319,0.382,0,0.567,75.491,4,-6.718,0.733,0.319
"Migos","Beast","atl hip hop, hip hop, pop rap, rap, trap","Cs",260224,43,0.027,0.0923,0.149,0,0.464,136.975,4,-7.69,0.89,0.0956
"Lil Tjay","Beat the Odds","brooklyn drill, melodic rap, nyc rap","Gs",150000,71,0.054,0.342,0.175,0,0.625,84.821,4,-7.452,0.498,0.478
"Bazzi","Beautiful","dance pop, electropop, pop","D",178242,62,0.214,0.0326,0.0979,0,0.677,100.014,4,-5.743,0.666,0.178
"DJ Khaled","BEAUTIFUL (feat. Future & SZA)","hip hop, miami hip hop, pop rap, rap, southern hip hop, trap","Fs",223232,64,0.103,0.233,0.118,0,0.55,171.882,4,-6.729,0.489,0.241
"Lost Frequencies","Beautiful Life (feat. Sandro Cavazza)","belgian edm, edm, electro house, pop, pop dance, tropical house","D",161906,44,0.141,0.0373,0.162,0.034,0.523,120,4,-6.494,0.725,0.326
"Justin Bieber","Beautiful Love - Free Fire","canadian pop, pop","E",207837,66,0.0568,0.0477,0.108,1.01e-06,0.602,111.022,4,-7.465,0.789,0.525
"Maroon 5","Beautiful Mistakes (feat. Megan Thee Stallion)","pop","As",227395,77,0.0377,0.027,0.154,0,0.676,99.048,4,-5.483,0.713,0.721
"Zedd","Beautiful Now","complextro, dance pop, edm, electro house, electropop, german techno, pop, pop dance, pop rap, post-teen pop, tropical house","B",218293,65,0.0079,0.0282,0.074,1.48e-05,0.833,128.003,4,-4.126,0.628,0.56
"Polo G","Beautiful Pain (Losin My Mind)","chicago rap, rap","Cs",171441,63,0.137,0.642,0.113,0,0.477,80.382,4,-9.638,0.597,0.512
"Ed Sheeran","Beautiful People (feat. Khalid)","pop, uk pop","F",197866,70,0.124,0.187,0.0802,0,0.648,92.977,4,-8.113,0.64,0.548
"Lana Del Rey","Beautiful People Beautiful Problems (feat. Stevie Nicks)","art pop, pop","F",253531,56,0.834,0.0325,0.0927,0.000854,0.43,122.919,4,-8.387,0.509,0.128
"P!nk","Beautiful Trauma","dance pop, pop","G",250053,60,0.0868,0.0723,0.4,2.55e-06,0.619,95.943,4,-6.39,0.412,0.234
"Kid Cudi","Beautiful Trip","hip hop, ohio hip hop, rap","B",37013,44,0.972,0.632,0.882,0.953,0.513,133.971,4,-15.392,0.331,0.42
"Ariana Grande","Beauty and the Beast","dance pop, pop","Fs",227928,62,0.126,0.0288,0.103,0,0.54,81.4,4,-7.046,0.489,0.27
"Tory Lanez","Beauty In The Benz (feat. Snoop Dogg)","canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, toronto rap, trap","As",237452,46,0.199,0.369,0.164,0,0.517,119.952,5,-9.191,0.72,0.445
"6ix9ine","BEBE","emo rap, rap, trap","C",217822,68,0.172,0.109,0.125,0,0.902,102.062,4,-3.559,0.635,0.285
"Camilo","BEBÉ","colombian pop, reggaeton colombiano","E",197284,64,0.476,0.0361,0.0543,0,0.72,129.993,4,-4.155,0.862,0.967
"Ozuna","Bebé","puerto rican pop, reggaeton, trap latino, urbano latino","A",230320,64,0.579,0.113,0.18,0.000171,0.82,169.758,4,-5.821,0.72,0.533
"Marília Mendonça","Bebi Liguei - Ao Vivo","arrocha, sertanejo","C",159779,65,0.362,0.198,0.743,0,0.804,153.883,4,-4.253,0.603,0.682
"Zé Neto & Cristiano","Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","arrocha, sertanejo, sertanejo pop, sertanejo universitario","C",179099,44,0.456,0.206,0.651,0,0.889,97.423,4,-3.813,0.57,0.426
"Shawn Mendes","Because I Had You","canadian pop, dance pop, pop, viral pop","G",142480,57,0.331,0.404,0.311,0,0.337,203.231,4,-9.751,0.559,0.705
"Joel Corry","BED","dance pop, edm, pop, pop dance, tropical house, uk dance","Fs",178087,71,0.0142,0.0341,0.333,0.00221,0.782,123.989,4,-4.593,0.671,0.618
"Nicki Minaj","Bed Of Lies","dance pop, hip pop, pop, queens hip hop, rap","B",269946,50,0.251,0.194,0.109,0,0.67,86.01,4,-5.779,0.716,0.124
"Liam Payne","Bedroom Floor","dance pop, pop, post-teen pop","Cs",188233,50,0.342,0.0687,0.107,6.37e-05,0.684,119.932,4,-7.147,0.625,0.217
"Rae Sremmurd","Bedtime Stories (feat. The Weeknd) - From SR3MM","hip hop, melodic rap, mississippi hip hop, pop rap, rap, southern hip hop, trap, viral rap","E",292727,49,0.0544,0.0279,0.342,4.77e-05,0.64,131.986,4,-4.527,0.803,0.038
"Doja Cat","Been Like This","dance pop, pop","As",177373,66,0.126,0.0374,0.377,3.44e-05,0.531,99.008,4,-5.029,0.678,0.176
"Meek Mill","Been That (feat. Rick Ross)","hip hop, philly rap, pop rap, rap, southern hip hop, trap","B",181386,37,0.00307,0.208,0.204,0,0.758,144.113,4,-5.288,0.626,0.289
"Justin Bieber","Been You","canadian pop, pop","G",199226,52,0.0223,0.07,0.321,0,0.781,113.021,4,-6.204,0.74,0.861
"Luke Combs","Beer Never Broke My Heart","contemporary country, country","Cs",186733,73,0.0139,0.0481,0.0874,0,0.863,77.001,4,-4.483,0.538,0.637
"XXXTENTACION","before I close my eyes","emo rap, miami hip hop","A",99658,66,0.976,0.0388,0.111,1.89e-05,0.143,75.522,4,-15.148,0.356,0.334
"Beyoncé","Before I Let Go - Homecoming Live Bonus Track","dance pop, pop, r&b","Fs",240776,51,0.0686,0.0944,0.337,0,0.842,102.994,4,-5.424,0.71,0.435
"Joji","Before The Day Is Over","viral pop","A",213706,67,0.765,0.0461,0.092,0.00146,0.305,160.075,4,-11.372,0.393,0.15
"Lewis Capaldi","Before You Go","pop, uk pop","Ds",215106,80,0.604,0.0573,0.0885,0,0.575,111.881,4,-4.858,0.459,0.183
"ZAYN","BeFoUr","dance pop, pop, post-teen pop, uk pop","E",208920,52,0.242,0.0318,0.122,0.012,0.629,102.005,4,-7.981,0.679,0.186
"Iggy Azalea","Beg For It","australian hip hop, dance pop, hip pop, pop, pop rap, post-teen pop, rap, viral rap","As",178107,38,0.229,0.0471,0.0884,0.000111,0.747,93.009,4,-4.31,0.807,0.4
"Charli XCX","Beg for You","art pop, candy pop, dance pop, electropop, metropopolis, pop, post-teen pop, uk pop","A",168053,0,0.223,0.0599,0.115,2.97e-06,0.945,128.036,4,-5.091,0.788,0.466
"Måneskin","Beggin'","indie rock italiano, italian pop","B",211560,81,0.127,0.0504,0.359,0,0.8,134.002,4,-4.808,0.714,0.589
"BANKS","Beggin For Thread","art pop, electropop, indie poptimism, pop","F",249739,54,0.00101,0.0278,0.255,0.0735,0.696,107.96,4,-6.196,0.597,0.397
"Taylor Swift","Begin Again (Taylor's Version)","pop","G",238866,64,0.075,0.0274,0.132,0,0.527,78.915,4,-7.673,0.519,0.267
"Drake","Behind Barz - Bonus","canadian hip hop, canadian pop, hip hop, rap, toronto rap","Gs",163120,61,0.769,0.172,0.0749,1.84e-06,0.554,142.072,4,-4.684,0.854,0.272
"Diego & Victor Hugo","Beijo de Glicose - Ao Vivo","arrocha, sertanejo, sertanejo pop, sertanejo universitario","A",171007,78,0.409,0.101,0.896,0,0.87,100.002,4,-3.738,0.556,0.59
"Taylor Swift","Bejeweled","pop","G",194165,79,0.0618,0.0693,0.0887,5.58e-05,0.559,163.999,4,-9.19,0.696,0.433
"Mumford & Sons","Believe","modern folk rock, stomp and holler, uk americana","D",220866,55,0.0308,0.0456,0.225,0.035,0.667,114.892,4,-5.992,0.332,0.378
"Eminem","Believe","detroit hip hop, hip hop, rap","Cs",315346,51,0.16,0.112,0.359,0,0.492,130.072,4,-5.343,0.884,0.11
"PARTYNEXTDOOR","BELIEVE IT","pop, r&b, rap, toronto rap, urban contemporary","Fs",183219,65,0.0901,0.265,0.216,0,0.7,157.871,4,-5.35,0.431,0.73
"Meek Mill","Believe It (feat. Rick Ross)","hip hop, philly rap, pop rap, rap, southern hip hop, trap","A",239280,43,0.00126,0.068,0.32,0,0.71,143.971,4,-5.209,0.701,0.138
"Lil Wayne","Believe Me","hip hop, new orleans rap, pop rap, rap, trap","As",337640,57,0.272,0.17,0.111,0,0.491,91.935,4,-8.807,0.844,0.196
"Kanye West","Believe What I Say","chicago rap, rap","G",242400,62,0.148,0.247,0.47,0,0.656,99.811,4,-7.868,0.595,0.416
"Imagine Dragons","Believer","modern rock, rock","As",204346,84,0.0622,0.128,0.081,0,0.78,124.949,4,-4.374,0.776,0.666
"Major Lazer","Believer","dance pop, edm, electro house, moombahton, pop, pop dance, pop rap, tropical house","Gs",223469,41,0.0743,0.0515,0.128,0.00168,0.905,144.981,4,-3.456,0.596,0.692
"Wolfine","Bella","colombian pop, reggaeton, urbano latino","Ds",197120,66,0.128,0.0735,0.127,0.000147,0.493,94.016,4,-6.688,0.909,0.844
"Wolfine","Bella - Remix","colombian pop, reggaeton, urbano latino","Ds",218360,44,0.303,0.0656,0.103,0,0.476,93.99,4,-6.621,0.917,0.87
"El Profesor","Bella ciao - Hugel Remix","house","B",164954,46,0.218,0.0844,0.0877,0.00718,0.488,126.019,4,-7.856,0.842,0.647
"Residente","Bellacoso","venezuelan hip hop","B",257864,63,0.0651,0.255,0.0568,0,0.851,180.086,4,-2.795,0.774,0.695
"Dalex","Bellaquita - Remix","r&b en espanol, reggaeton, urbano latino","Cs",304733,61,0.141,0.0838,0.179,2.12e-06,0.715,165.941,4,-3.582,0.795,0.758
"Halsey","Bells in Santa Fe","dance pop, electropop, etherpop, indie poptimism, pop","D",217653,49,0.613,0.0315,0.387,0.00644,0.489,149.986,4,-8.264,0.651,0.395
"Lil Baby","Belly (Lil Baby & Gunna)","atl hip hop, atl trap, rap, trap","Cs",191724,51,0.175,0.0705,0.0844,0,0.692,120.028,4,-5.343,0.766,0.426
"Imanbek","Belly Dancer","dance pop, edm, electro house, pop dance, slap house, tropical house","Cs",151475,81,0.0582,0.139,0.167,5.57e-06,0.797,121.985,4,-4.984,0.845,0.422
"Belly","Belly, The Weeknd - Die For It (ft. Nas)","canadian hip hop, canadian trap, pop rap, rap, trap","F",199866,45,0.392,0.136,0.425,0,0.492,97.107,4,-9.612,0.657,0.193
"Billie Eilish","bellyache","art pop, electropop, pop","E",179172,74,0.46,0.106,0.482,0.0734,0.573,99.939,4,-8.597,0.695,0.408
"Mumford & Sons","Beloved","modern folk rock, stomp and holler, uk americana","D",265096,48,0.00539,0.0441,0.131,0.153,0.773,191.966,4,-7.227,0.445,0.313
"Bad Bunny","BENDICIONES","reggaeton, trap latino, urbano latino","B",155060,62,0.0378,0.0725,0.103,0,0.581,143.995,4,-9.909,0.828,0.843
"Playboi Carti","Beno!","atl hip hop, hip hop, plugg, pluggnb, rap","Cs",153333,60,0.0213,0.304,0.0726,0,0.562,144.067,4,-7.357,0.923,0.499
"Capital Bra","Benzema","german hip hop","As",159152,50,0.543,0.359,0.12,0,0.699,100.908,4,-6.691,0.785,0.286
"Samra","Berlin","german hip hop","Cs",173695,40,0.695,0.223,0.224,1.61e-05,0.672,169.859,4,-5.726,0.69,0.549
"BROCKHAMPTON","BERLIN","boy band, hip hop, rap","B",199013,40,0.051,0.22,0.307,0,0.621,142.087,4,-6.626,0.716,0.644
"Capital Bra","Berlin lebt","german hip hop","D",183828,51,0.139,0.373,0.104,1.45e-06,0.655,78.665,4,-6.652,0.651,0.393
"Capital Bra","Berlin lebt wie nie zuvor","german hip hop","Cs",151294,47,0.198,0.244,0.347,0,0.782,179.701,4,-2.88,0.654,0.635
"Piso 21","Besándote","colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino","G",181048,50,0.0345,0.056,0.169,0,0.809,95.037,4,-4.96,0.724,0.496
"Wisin & Yandel","Besos Moja2","electro latino, latin hip hop, reggaeton, urbano latino","F",229064,84,0.0584,0.0571,0.0976,1.91e-06,0.727,94.048,4,-4.642,0.736,0.644
"Mac Miller","Best Day Ever","hip hop, pittsburgh rap, rap","A",159119,59,0.0401,0.0461,0.216,0,0.572,175.028,4,-4.531,0.223,0.0681
"American Authors","Best Day Of My Life","indie poptimism, modern rock, pop rock","D",194240,75,0.0591,0.0346,0.0558,0.000262,0.902,100.012,4,-2.392,0.673,0.538
"Young Thug","Best Friend","atl hip hop, atl trap, gangster rap, hip hop, melodic rap, pop rap, rap, southern hip hop, trap","Gs",213000,56,0.0358,0.0713,0.358,0,0.598,127.029,4,-5.534,0.959,0.408
"Saweetie","Best Friend (feat. Doja Cat)","cali rap, dance pop, pop, rap, trap queen","E",155883,69,0.00302,0.136,0.0684,3.61e-06,0.766,94.018,4,-4.12,0.84,0.402
"The Weeknd","Best Friends","canadian contemporary r&b, canadian pop, pop","E",163504,67,0.436,0.105,0.351,0,0.564,90,4,-7.045,0.737,0.528
"Cardi B","Best Life (feat. Chance The Rapper)","dance pop, pop, rap","A",284855,51,0.287,0.553,0.314,0,0.625,167.911,4,-7.438,0.62,0.665
"Huncho Jack","Best Man","hip hop, melodic rap, pop rap, rap, southern hip hop, trap","Gs",266879,43,0.00304,0.0545,0.317,4.77e-05,0.687,106.859,4,-4.567,0.673,0.159
"Ariana Grande","Best Mistake","dance pop, pop","Fs",233733,60,0.546,0.449,0.112,0,0.578,143.867,4,-6.897,0.654,0.233
"BTS","Best Of Me","k-pop, k-pop boy group","Gs",227191,64,0.0298,0.07,0.396,0,0.756,121.936,4,-4.388,0.655,0.469
"Foo Fighters","Best of You","alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock","Cs",255626,72,0.000769,0.0696,0.188,9.42e-05,0.94,130.198,4,-5.119,0.366,0.369
"Russ","BEST ON EARTH (feat. BIA) - Bonus","hawaiian hip hop, rap","F",160720,64,0.188,0.078,0.093,0,0.748,90.006,4,-3.512,0.846,0.597
"Ed Sheeran","Best Part of Me (feat. YEBBA)","pop, uk pop","D",243266,60,0.762,0.0318,0.285,9.3e-06,0.242,81.657,4,-8.367,0.565,0.237
"One Direction","Best Song Ever","boy band, pop, post-teen pop, talent show","Cs",200106,73,0.0227,0.0465,0.0789,0,0.877,118.491,4,-2.986,0.652,0.486
"BLACKPINK","Bet You Wanna (feat. Cardi B)","k-pop, k-pop girl group","G",161167,59,0.00465,0.162,0.0626,0,0.662,111.712,4,-6.168,0.653,0.674
"Trippie Redd","Betrayal (feat. Drake)","melodic rap, rap, trap","Gs",152024,56,0.0126,0.0688,0.126,0,0.564,158.114,4,-6.71,0.74,0.129
"Lil Xan","Betrayed","emo rap, vapor trap","As",187173,66,0.434,0.118,0.128,0,0.434,120.012,4,-9.194,0.821,0.241
"Khalid","Better","pop, pop r&b","C",229412,67,0.0984,0.0964,0.14,0.391,0.585,97.565,4,-10.332,0.442,0.116
"ZAYN","Better","dance pop, pop, post-teen pop, uk pop","D",174520,58,0.354,0.235,0.132,0,0.409,84.652,4,-7.135,0.696,0.0962
"Belly","Better Believe","canadian hip hop, canadian trap, pop rap, rap, trap","C",206629,54,0.159,0.319,0.144,0,0.573,124.995,4,-7.85,0.797,0.445
"Dermot Kennedy","Better Days","folk-pop, irish pop, pop","C",198221,63,0.409,0.042,0.0847,0,0.553,99.999,4,-7.116,0.68,0.352
"NEIKED","Better Days (NEIKED x Mae Muller x Polo G)","dance pop, edm, pop, pop dance, scandipop, tropical house","C",160656,76,0.0018,0.0337,0.0921,2.54e-06,0.671,110.054,4,-5.077,0.717,0.699
"Hozier","Better Love - From ""The Legend Of Tarzan"" Original Motion Picture Soundtrack / Single Version","irish singer-songwriter, pop","C",193226,46,0.0252,0.0559,0.0658,4.24e-06,0.819,126.424,4,-3.411,0.382,0.419
"Taylor Swift","Better Man (Taylor's Version) (From The Vault)","pop","E",297013,65,0.214,0.0384,0.0877,0,0.579,73.942,4,-5.824,0.473,0.255
"Louis The Child","Better Not (with Wafia)","edm, electro house, electronic trap, electropop, indie poptimism, pop, tropical house, vapor twitch","A",222865,60,0.278,0.0795,0.229,0,0.537,113.988,4,-2.921,0.783,0.393
"Post Malone","Better Now","dfw rap, melodic rap, rap","As",231266,77,0.331,0.04,0.135,0,0.578,145.038,4,-5.804,0.68,0.341
"Ariana Grande","better off","dance pop, pop","B",171333,61,0.216,0.0537,0.112,0,0.524,92.568,4,-7.247,0.597,0.0549
"A$AP Rocky","Better Things","east coast hip hop, hip hop, rap, trap","Cs",199466,48,0.106,0.0975,0.159,0.612,0.443,100.762,4,-10.584,0.466,0.116
"benny blanco","Better to Lie (with Jesse & Swae Lee)","dance pop, edm, electropop, pop, pop rap","As",175340,43,0.0514,0.0672,0.11,8e-06,0.617,155.026,4,-7.545,0.773,0.551
"Luke Combs","Better Together","contemporary country, country","C",219573,70,0.827,0.0477,0.111,0,0.225,138.002,4,-11.501,0.552,0.67
"David Guetta","Better When You're Gone","big room, dance pop, edm, pop, pop dance","Cs",192402,58,0.0635,0.0372,0.188,0,0.795,127.992,4,-3.548,0.647,0.409
"Taylor Swift","betty","pop","C",294521,67,0.6,0.0253,0.0976,0,0.377,95.939,4,-8.761,0.593,0.502
"Yung Gravy","Betty (Get Money)","minnesota hip hop","Cs",146470,74,0.00524,0.0792,0.367,1.15e-05,0.772,102.004,4,-6.784,0.723,0.58
"Big Sean","Bezerk (feat. A$AP Ferg)","detroit hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap","D",151066,54,0.0164,0.2,0.253,0,0.687,184.026,4,-4.673,0.684,0.265
"Ed Sheeran","Bibia Be Ye Ye","pop, uk pop","G",176746,58,0.52,0.0824,0.133,0,0.677,127.067,4,-5.121,0.738,0.882
"Bad Bunny","Bichiyal","reggaeton, trap latino, urbano latino","As",196500,73,0.31,0.0458,0.114,6.63e-06,0.766,93.956,4,-4.242,0.737,0.662
"KAROL G","BICHOTA","reggaeton, reggaeton colombiano, urbano latino","Cs",178946,70,0.212,0.152,0.103,0.000493,0.666,163.908,4,-4.158,0.863,0.838
"Cardi B","Bickenhead","dance pop, pop, rap","G",181623,50,0.154,0.303,0.158,1.67e-06,0.814,155.938,4,-5.333,0.884,0.907
"Mora","BIENVENIDA AL PARAÍSO","trap latino, urbano latino","D",103963,59,0.951,0.0427,0.111,0.269,0.439,122.136,4,-11.281,0.576,0.0765
"Juice WRLD","Big","chicago rap, melodic rap","C",224063,57,0.0645,0.111,0.0912,0,0.642,145.028,4,-6.197,0.762,0.234
"Rita Ora","Big (feat. Gunna)","dance pop, edm, electropop, pop, pop rap, post-teen pop, tropical house, uk pop","G",156781,54,0.0659,0.0356,0.0641,1.16e-06,0.845,111.995,4,-3.446,0.779,0.615
"YG","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","cali rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","Cs",237240,62,0.00552,0.331,0.0881,0,0.346,203.911,4,-7.709,0.745,0.112
"Big Sean","Big Bidness (& Metro Boomin)","detroit hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap","G",273026,42,0.123,0.275,0.102,0,0.579,84.985,4,-10.463,0.657,0.146
"Bonez MC","Big Body Benz","german hip hop, hamburg hip hop","A",148283,54,0.0731,0.393,0.268,0.00573,0.451,94.024,4,-8.969,0.884,0.311
"Ufo361","Big Drip","german cloud rap, german hip hop","C",173784,49,0.0448,0.311,0.129,0.000205,0.535,158.922,4,-6.753,0.791,0.443
"Stormzy","Big For Your Boots","grime, uk hip hop","Fs",238418,55,0.0313,0.383,0.093,0,0.902,174.589,5,-4.729,0.515,0.628
"Kevin Gates","Big Gangsta","baton rouge rap, pop rap, rap, southern hip hop, trap","As",243462,58,0.519,0.391,0.144,8.76e-06,0.574,144.911,4,-5.602,0.879,0.346
"Florence + The Machine","Big God","baroque pop, pop, uk alternative pop","D",241760,53,0.528,0.0331,0.0958,2.1e-05,0.366,72.992,4,-8.388,0.625,0.219
"Arctic Monkeys","Big Ideas","garage rock, modern rock, permanent wave, rock, sheffield indie","A",237984,62,0.663,0.0296,0.0972,0.00365,0.328,67.023,3,-9.973,0.548,0.343
"Migos","Big On Big","atl hip hop, hip hop, pop rap, rap, trap","C",290793,43,0.145,0.0586,0.172,0,0.768,142.022,4,-5.469,0.723,0.526
"Ninho","Big Pac","french hip hop, pop urbaine","B",183747,49,0.487,0.196,0.246,0,0.717,140.028,4,-6.054,0.771,0.577
"Why Don't We","Big Plans","boy band, dance pop, pop, post-teen pop","B",179929,60,0.0668,0.0427,0.114,0,0.604,75.014,4,-5.279,0.693,0.651
"Drake","Big Rings","canadian hip hop, canadian pop, hip hop, rap, toronto rap","Gs",217706,57,0.00196,0.266,0.227,0,0.675,131.984,4,-6.224,0.776,0.27
"Kendrick Lamar","Big Shot (with Travis Scott)","conscious hip hop, hip hop, rap, west coast rap","Cs",221826,62,0.00759,0.193,0.101,0,0.478,130.018,4,-9.116,0.855,0.284
"Lorde","Big Star","art pop, metropopolis, nz pop, pop","G",167044,50,0.974,0.0477,0.257,4.28e-05,0.0635,79.68,3,-18.876,0.333,0.279
"DJ Khaled","BIG TIME (feat. Future & Lil Baby)","hip hop, miami hip hop, pop rap, rap, southern hip hop, trap","Cs",173783,59,0.0197,0.284,0.103,0,0.7,107.711,3,-5.199,0.496,0.464
"Lil Uzi Vert","Bigger Than Life","melodic rap, philly rap, rap, trap","Gs",192705,59,0.325,0.193,0.33,0,0.752,140.013,4,-4.711,0.776,0.716
"Louis Tomlinson","Bigger Than Me","pop, post-teen pop","E",221440,55,0.00195,0.0501,0.424,0,0.835,144.925,4,-3.8,0.468,0.454
"Big Sean","Bigger Than Me","detroit hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap","As",292520,45,0.269,0.101,0.29,0,0.639,83.339,5,-7.98,0.366,0.168
"Taylor Swift","Bigger Than The Whole Sky","pop","Fs",218502,74,0.826,0.0568,0.115,0.00648,0.235,165.71,4,-12.379,0.422,0.068
"2 Chainz","Bigger Than You (feat. Drake & Quavo)","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","Cs",225893,53,0.247,0.271,0.446,0,0.515,141.009,4,-6.246,0.888,0.264
"Quavo","BIGGEST ALLEY OOP","atl hip hop, melodic rap, rap, trap","C",180960,50,0.166,0.189,0.111,0,0.408,75.481,4,-5.389,0.86,0.0548
"Billie Eilish","Billie Bossa Nova","art pop, electropop, pop","G",196730,71,0.222,0.11,0.105,0.0346,0.389,110.023,4,-11.036,0.895,0.549
"Armani White","BILLIE EILISH.","indie hip hop","Cs",99282,79,0.115,0.257,0.0937,1.67e-06,0.509,100.007,4,-6.647,0.9,0.765
"Michael Jackson","Billie Jean","pop, r&b, soul","B",293826,78,0.0236,0.0401,0.036,0.0153,0.654,117.046,4,-3.051,0.92,0.847
"LunchMoney Lewis","Bills","miami hip hop","F",204600,56,0.274,0.0964,0.486,0,0.747,126.001,4,-3.453,0.699,0.683
"6ix9ine","BILLY","emo rap, rap, trap","E",112666,64,0.175,0.288,0.105,0,0.711,90.076,4,-3.818,0.764,0.774
"Sefo","Bilmem Mi?","turkish trap","Ds",186706,62,0.691,0.0603,0.117,0,0.718,89.986,4,-6.096,0.749,0.425
"Mc Davi","Bipolar","funk carioca, funk mtg, funk ostentacao, funk paulista","A",276480,58,0.586,0.0877,0.0882,0,0.36,124.993,4,-7.791,0.601,0.335
"Chris Jedi","Bipolar","latin hip hop, reggaeton, reggaeton flow, trap latino, urbano latino","Cs",220080,59,0.32,0.0618,0.144,0,0.697,76.031,4,-5.85,0.782,0.416
"Gucci Mane","BiPolar (feat. Quavo)","atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","Gs",214610,43,0.144,0.132,0.154,0,0.576,157.083,4,-6.688,0.745,0.16
"Sia","Bird Set Free","australian dance, australian pop, dance pop, pop","F",252440,61,0.0115,0.0728,0.133,0.000667,0.805,150.174,4,-4.284,0.438,0.31
"Trippie Redd","Bird Shit","melodic rap, rap, trap","C",228960,48,0.0493,0.12,0.18,0,0.566,159.965,4,-8.354,0.78,0.476
"Coldplay","Birds","permanent wave, pop","C",229093,58,0.000315,0.0332,0.0816,0.437,0.841,105.009,4,-5.584,0.559,0.147
"Slipknot","Birth Of The Cruel","alternative metal, nu metal, rap metal","B",275839,53,0.000147,0.0821,0.129,0.138,0.953,148.189,4,-4.469,0.432,0.481
"Anne-Marie","Birthday","dance pop, pop, pop dance, post-teen pop, tropical house, uk pop","B",181466,56,0.0502,0.0891,0.171,0,0.785,151.995,4,-3.32,0.609,0.756
"Migos","Birthday","atl hip hop, hip hop, pop rap, rap, trap","C",227227,46,0.283,0.347,0.0955,0,0.593,169.963,4,-6.903,0.842,0.734
"Disclosure","Birthday","edm, house, pop, uk dance","F",219520,41,0.0926,0.0822,0.125,4.58e-06,0.728,136.205,4,-8.686,0.692,0.668
"Katy Perry","Birthday","dance pop, pop","B",215042,59,0.0879,0.0681,0.112,3.75e-06,0.674,125.98,4,-5.122,0.719,0.843
"Dylan Conrique","Birthday Cake","alt z, social media pop","Ds",205280,70,0.955,0.0364,0.106,3.28e-05,0.255,113.265,4,-8.623,0.436,0.15
"Rihanna","Bitch Better Have My Money","barbadian pop, dance pop, pop, urban contemporary","Cs",219305,69,0.0509,0.0621,0.257,1.94e-06,0.728,102.99,4,-4.981,0.781,0.395
"Avril Lavigne","Bite Me","canadian pop, candy pop, dance pop, pop, post-teen pop","Gs",159746,64,0.00381,0.0699,0.359,0,0.792,169.997,4,-4.382,0.491,0.74
"Summer Walker","Bitter - Narration By Cardi B","pop, r&b, rap","C",281112,52,0.756,0.345,0.153,0,0.375,93.471,4,-11.508,0.638,0.328
"ROSALÍA","BIZCOCHITO","r&b en espanol","Cs",109120,73,0.605,0.0744,0.12,0.0238,0.774,116.972,4,-4.203,0.93,0.781
"Huncho Jack","Black & Chinese","hip hop, melodic rap, pop rap, rap, southern hip hop, trap","Cs",172016,57,0.00389,0.0956,0.119,0.00879,0.844,159.108,4,-4.151,0.668,0.33
"Juice WRLD","Black & White","chicago rap, melodic rap","G",186945,71,0.0802,0.247,0.159,0,0.736,147.946,4,-4.612,0.776,0.233
"Niall Horan","Black And White","dance pop, neo mellow, pop, post-teen pop","D",193089,65,0.0301,0.0482,0.127,0,0.582,147.589,4,-6.02,0.443,0.239
"Nicki Minaj","Black Barbies","dance pop, hip pop, pop, queens hip hop, rap","C",254080,59,0.0878,0.0869,0.171,7.24e-05,0.588,146.024,4,-5.167,0.809,0.249
"Rae Sremmurd","Black Beatles","hip hop, melodic rap, mississippi hip hop, pop rap, rap, southern hip hop, trap, viral rap","C",291893,72,0.142,0.0649,0.128,0,0.632,145.926,4,-6.163,0.794,0.355
"Polo G","Black Hearted","chicago rap, rap","Cs",190509,63,0.0326,0.411,0.0856,0,0.563,168.146,4,-7.664,0.506,0.153
